*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=13:13:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
173;;;109.622;-19.4683;0;Bottom;Via42
174;;;68.7197;-69.4184;0;Bottom;Copper Fill198
175;2.2k;THT;65.6217;-77.3884;90;Bottom;R75
176;;;33.8328;-39.9163;0;Bottom;Copper Fill211
177;;;42.8244;-83.0582;0;Bottom;Copper Fill97
178;;;46.6217;-52.4684;0;Bottom;Via25
179;5.6k;THT;16.7016;-64.4685;0;Bottom;R68
180;;;86.6902;-5.9438;0;Bottom;Copper Fill182
181;;;86.6648;-73.1268;0;Bottom;Copper Fill13
182;100nF;100 mil [THT, multilayer];58.8916;-75.4684;0;Bottom;C18
183;;;53.1368;-97.9172;0;Bottom;Copper Fill81
184;;;20.6756;-29.9722;0;Bottom;Copper Fill168
185;;;104.597;-75.5398;0;Bottom;Copper Fill11
186;;300 mil [THT];22.6215;-82.253;-90;Bottom;D10
187;;;100.457;-24.3715;0;Bottom;Copper Fill52
188;;;86.6648;-73.0252;0;Bottom;Copper Fill107
189;;;104.369;-52.883;0;Bottom;Copper Fill132
190;10k;THT;104.622;-32.3883;-90;Bottom;R50
191;;;15.5395;-6.29007;0;Bottom;IMG1
192;;THT;111.447;-63.4779;0;Bottom;R56
193;;;5.5753;-68.6056;0;Bottom;Copper Fill68
194;;300 mil [THT];46.6217;-71.2528;-90;Bottom;D8
195;;;91.6178;-60.0204;0;Bottom;Copper Fill125
196;;;85.979;-37.7954;0;Bottom;Copper Fill30
197;;;48.1584;-15.0243;0;Bottom;Copper Fill209
198;;;21.9964;-19.0248;0;Bottom;Copper Fill170
199;;;11.5697;-81.4072;0;Bottom;Copper Fill191
200;;;55.6218;-10.4684;0;Bottom;Via12
201;100k;THT;86.7018;-32.4685;180;Bottom;R42
202;;;74.9554;-55.169;0;Bottom;Copper Fill130
203;560;THT;63.5418;-47.4683;180;Bottom;R10
204;;DIP (Dual Inline) [THT];63.4317;-37.7384;0;Bottom;uA742
205;;;25.654;-8.9664;0;Bottom;Copper Fill179
206;;;44.6216;-10.4684;0;Bottom;Via5
207;;;95.9866;-90.7544;0;Bottom;Copper Fill90
208;;;92.2528;-29.5404;0;Bottom;Copper Fill164
209;;;37.348;-2.72593;0;Bottom;TXT7
210;300pF;100 mil [THT, multilayer];96.6216;-29.1935;180;Bottom;C11
211;;;55.6218;-52.4684;0;Bottom;Via31
212;;THT;52.152;-100.293;-90;Bottom;Sustain1
213;;;109.764;-7.37142;-90;Bottom;TXT7
214;;;46.5709;-73.8888;0;Bottom;Copper Fill77
215;;;7.8486;-72.7204;0;Bottom;Copper Fill105
216;;;57.6218;-97.4683;0;Bottom;Via37
217;;THT;111.446;-82.938;0;Bottom;R76
218;;;47.9044;-64.186;0;Bottom;Copper Fill115
219;;;78.9432;-55.3976;0;Bottom;Copper Fill22
220;;;23.7744;-61.9508;0;Bottom;Copper Fill117
221;;;97.8281;-30.3024;0;Bottom;Copper Fill55
222;;;32.6218;-10.4684;0;Bottom;Via4
223;;;86.2076;-88.1382;0;Bottom;Copper Fill6
224;;;7.366;-75.0699;0;Bottom;Copper Fill69
225;180;THT;74.7017;-16.4684;0;Bottom;R39
226;;;105.918;-45.39;0;Bottom;Copper Fill140
227;;;13.6144;-39.2178;0;Bottom;Copper Fill154
228;;;52.4764;-15.0243;0;Bottom;Copper Fill207
229;100µF;200 mil [THT, electrolytic];43.1617;-31.4683;0;Bottom;C7
230;;DIP8 [THT];29.8117;-87.1984;0;Bottom;U4
231;47µF;100 mil [THT, electrolytic];99.6216;-95.1983;90;Bottom;C23
232;;300 mil [THT];20.6217;-34.6839;90;Bottom;D2
233;300pF;100 mil [THT, multilayer];77.6216;-36.1938;-90;Bottom;C13
234;;;61.0108;-69.647;0;Bottom;Copper Fill15
235;;DIP (Dual Inline) [THT];38.8118;-43.6583;90;Bottom;MCP4922
236;;din_5_female_support;9.37165;-40.5093;90;Bottom;MIDI_IN1
237;;;33.6804;-64.2876;0;Bottom;Copper Fill113
238;;DIP (Dual Inline) [THT];87.8118;-89.2784;-90;Bottom;IC6
239;;;25.9461;-92.1768;0;Bottom;Copper Fill213
240;100nF;100 mil [THT, multilayer];38.3517;-82.4684;180;Bottom;C20
241;;;49.6217;-52.4684;0;Bottom;Via26
242;100nF;100 mil [THT, multilayer];105.622;-20.743;90;Bottom;C15
243;;;40.0177;-38.8114;0;Bottom;Copper Fill75
244;;;45.7962;-5.0802;0;Bottom;Copper Fill183
245;;;84.1183;-96.3164;0;Bottom;TXT6
246;50k;THT;74.5417;-2.46852;0;Bottom;R57
247;5.6k;THT;16.5416;-61.4685;180;Bottom;R67
248;;DIP8 [THT];56.4317;-83.7384;180;Bottom;U3
249;;;16.2814;-32.817;0;Bottom;Copper Fill161
250;10pF;100 mil [THT, multilayer];70.6216;-23.1983;90;Bottom;C5
251;;;48.133;-93.8786;0;Bottom;Copper Fill83
252;;;17.6276;-81.0262;0;Bottom;Copper Fill10
253;;;25.9461;-92.1768;0;Bottom;Copper Fill71
254;;;36.2049;-31.1584;0;Bottom;Arduino Uno1
255;;;81.6102;-8.9664;0;Bottom;Copper Fill180
256;10k;THT;93.5417;-71.4685;180;Bottom;R65
257;;THT;18.1522;-100.293;-90;Bottom;Attack1
258;;;45.974;-34.2648;0;Bottom;Copper Fill158
259;100nF;100 mil [THT, multilayer];74.6215;-89.1985;90;Bottom;C22
260;;;41.3258;-88.8494;0;Bottom;Copper Fill92
261;;;33.147;-29.4896;0;Bottom;Copper Fill160
262;;;55.0544;-2.76629;0;Bottom;TXT7
263;;;40.6217;-52.4684;0;Bottom;Via23
264;;;54.6608;-15.0243;0;Bottom;Copper Fill208
265;10µF;100 mil [THT, electrolytic];43.8918;-23.4684;0;Bottom;C6
266;;;16.6218;-52.4684;0;Bottom;Via15
267;;;27.5336;-94.5263;0;Bottom;Copper Fill49
268;300pF;100 mil [THT, multilayer];79.6217;-12.1936;-90;Bottom;C14
269;;;102.616;-44.6534;0;Bottom;Copper Fill145
270;;;23.5712;-66.3196;0;Bottom;Copper Fill114
271;;;69.8246;-70.4979;0;Bottom;Copper Fill199
272;100k;THT;100.622;-42.3883;-90;Bottom;R52
273;;;81.4578;-15.2148;0;Bottom;Copper Fill176
274;180;THT;90.5417;-34.4683;0;Bottom;R32
275;;;72.6216;-37.4684;0;Bottom;Via34
276;;;69.6468;-64.0336;0;Bottom;Copper Fill18
277;;;74.4474;-2.718;0;Bottom;Copper Fill38
278;;;37.5666;-72.4156;0;Bottom;Copper Fill104
279;;;63.6016;-47.7776;0;Bottom;Copper Fill138
280;;;90.297;-50.0128;0;Bottom;Copper Fill36
281;;;46.5709;-76.2764;0;Bottom;Copper Fill76
282;30k;THT;102.622;-89.5485;-90;Bottom;R77
283;;;74.6217;-62.4685;0;Bottom;Via41
284;;THT;8.15217;-100.293;-90;Bottom;Release1
285;;;94.6658;-41.199;0;Bottom;Copper Fill153
286;180;THT;68.5416;-15.4685;180;Bottom;R15
287;;;60.6552;-24.5239;0;Bottom;Copper Fill79
288;;;45.3644;-75.0699;0;Bottom;Copper Fill216
289;;;39.5605;-81.458;0;Bottom;Copper Fill194
290;;;26.6217;-10.4684;0;Bottom;Via1
291;;;41.529;-16.5483;0;Bottom;Copper Fill190
292;100nF;100 mil [THT, multilayer];41.8917;-13.4684;180;Bottom;C4
293;;;31.6216;-52.4684;0;Bottom;Via18
294;;;17.145;-80.2388;0;Bottom;Copper Fill94
295;;;79.8576;-67.5642;0;Bottom;Copper Fill14
